id,fuente,localidad,tipo,length_m,area_ha,folder_path
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00030,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,29.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00031,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,99.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00032,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,114.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00033,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,40.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00034,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,52.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00035,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,156.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00036,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,54.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00037,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,31.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00038,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,118.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00039,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,32.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00040,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,9.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00041,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,131.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00042,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,109.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00043,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,35.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00044,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,128.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00045,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,95.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00046,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,28.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00047,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,130.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00048,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,48.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00049,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,45.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00050,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,74.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00051,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,59.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00052,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,65.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00053,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,49.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00054,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,95.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00055,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,51.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00056,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,40.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00057,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,43.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00058,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,39.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00059,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,21.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00060,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,54.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00061,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,30.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00062,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,23.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00063,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,24.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00064,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,26.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00065,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,24.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00066,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,62.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00067,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,40.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00068,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,141.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00069,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,69.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00070,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,63.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00071,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,177.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00072,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,22.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00073,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,62.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00074,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,69.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00075,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,129.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00076,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,129.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00077,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,53.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00078,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,28.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00079,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,22.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00080,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,33.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00081,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,27.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
NORM-PRC-vialidad_estructurante-caleta_los_hornos-00082,PRC_LA_HIGUERA,Caleta Los Hornos,vialidad_estructurante,34.0,,PRC_LA_HIGUERA / Caleta Los Hornos / Vialidad_Estructurante_CLH
