vivienda_id,tipo,personas_ids,cbr_fojas,cbr_numero,cbr_anio,fuente
VIV-0388,usufructuario,PER-0469,1348,1234,2002,planilla_socioeconomica · columna marca X
VIV-0389,propietario,PER-0470,1032,1012,1984,planilla_socioeconomica · columna marca X
VIV-0390,propietario,PER-0471,4336,4038,2004,planilla_socioeconomica · columna marca X
VIV-0391,propietario,PER-0472,3185,2964,1997,planilla_socioeconomica · columna marca X
VIV-0391,arrendador,PER-0473,3185,2964,1997,planilla_socioeconomica · columna marca X
VIV-0392,propietario,"PER-0474,PER-0475",1001,981,1994,planilla_socioeconomica · columna marca X
VIV-0392,usufructuario,PER-0475,1001,981,1994,planilla_socioeconomica · columna marca X
VIV-0393,propietario,PER-0476,,,,planilla_socioeconomica · columna marca X
VIV-0394,usufructuario,PER-0478,958,938,1984,planilla_socioeconomica · columna marca X
VIV-0395,usufructuario,PER-0480,1079,1059,1984,planilla_socioeconomica · columna marca X
VIV-0396,propietario,PER-0481,2099,1839,2006,planilla_socioeconomica · columna marca X
VIV-0397,usufructuario,PER-0483,8893,7012,2011,planilla_socioeconomica · columna marca X
VIV-0398,propietario,PER-0484,8174,6437,2010,planilla_socioeconomica · columna marca X
VIV-0399,propietario,PER-0485,2066,1961,1992,planilla_socioeconomica · columna marca X
VIV-0400,propietario,PER-0486,4383,4081,2004,planilla_socioeconomica · columna marca X
VIV-0401,propietario,PER-0487,,,,planilla_socioeconomica · columna marca X
VIV-0402,propietario,PER-0488,6214,5166,2009,planilla_socioeconomica · columna marca X
VIV-0403,propietario,PER-0489,3202,2981,1997,planilla_socioeconomica · columna marca X
VIV-0404,usufructuario,PER-0490,2130,2025,1992,planilla_socioeconomica · columna marca X
VIV-0405,propietario,PER-0492,5750,4605,2008,planilla_socioeconomica · columna marca X
VIV-0407,propietario,PER-0494,3209,2944,2007,planilla_socioeconomica · columna marca X
VIV-0408,propietario,PER-0495,4387,4039,2004,planilla_socioeconomica · columna marca X
VIV-0409,usufructuario,PER-0496,,,,planilla_socioeconomica · columna marca X
VIV-0410,usufructuario,PER-0497,2994,2829,1992,planilla_socioeconomica · columna marca X
VIV-0411,propietario,PER-0499,1661,1378,1993,planilla_socioeconomica · columna marca X
VIV-0412,usufructuario,PER-0500,1597,1540,1991,planilla_socioeconomica · columna marca X
VIV-0413,propietario,PER-0502,,,,planilla_socioeconomica · columna marca X
VIV-0414,propietario,PER-0503,1602,1545,1991,planilla_socioeconomica · columna marca X
VIV-0415,propietario,PER-0504,6213,5165,2009,planilla_socioeconomica · columna marca X
VIV-0416,propietario,PER-0505,1582,1525,1991,planilla_socioeconomica · columna marca X
VIV-0417,arrendador,PER-0506,4329,4031,2004,planilla_socioeconomica · columna marca X
VIV-0418,usufructuario,PER-0508,2082,1977,1992,planilla_socioeconomica · columna marca X
VIV-0419,usufructuario,PER-0510,,,,planilla_socioeconomica · columna marca X
VIV-0420,propietario,PER-0512,4369,4019,2001,planilla_socioeconomica · columna marca X
VIV-0421,propietario,PER-0513,,,,planilla_socioeconomica · columna marca X
VIV-0422,usufructuario,PER-0514,,,,planilla_socioeconomica · columna marca X
VIV-0423,usufructuario,PER-0515,,,,planilla_socioeconomica · columna marca X
VIV-0424,usufructuario,PER-0516,,,,planilla_socioeconomica · columna marca X
VIV-0425,usufructuario,PER-0517,,,,planilla_socioeconomica · columna marca X
VIV-0426,usufructuario,PER-0518,4227,3964,1997,planilla_socioeconomica · columna marca X
VIV-0427,propietario,PER-0520,4339,4041,2004,planilla_socioeconomica · columna marca X
VIV-0427,usufructuario,PER-0520,4339,4041,2004,planilla_socioeconomica · columna marca X
VIV-0428,propietario,PER-0521,4338,4040,2004,planilla_socioeconomica · columna marca X
VIV-0429,propietario,PER-0522,138,113,2011,planilla_socioeconomica · columna marca X
VIV-0430,propietario,PER-0523,2114,2009,1992,planilla_socioeconomica · columna marca X
VIV-0431,propietario,PER-0524,1013,993,1984,planilla_socioeconomica · columna marca X
VIV-0432,usufructuario,PER-0525,2132,2077,1992,planilla_socioeconomica · columna marca X
VIV-0433,usufructuario,PER-0527,964,944,1984,planilla_socioeconomica · columna marca X
VIV-0434,propietario,PER-0529,,,,planilla_socioeconomica · columna marca X
VIV-0435,propietario,PER-0530,4372,4031,2002,planilla_socioeconomica · columna marca X
VIV-0436,usufructuario,PER-0531,962,942,1984,planilla_socioeconomica · columna marca X
VIV-0437,usufructuario,PER-0533,1031,753,2012,planilla_socioeconomica · columna marca X
VIV-0438,propietario,PER-0534,2445,2329,1992,planilla_socioeconomica · columna marca X
VIV-0439,usufructuario,PER-0535,2457,2341,1992,planilla_socioeconomica · columna marca X
VIV-0440,propietario,PER-0537,408,367,2003,planilla_socioeconomica · columna marca X
VIV-0441,propietario,PER-0538,1698,1503,2006,planilla_socioeconomica · columna marca X
VIV-0443,propietario,PER-0540,,,,planilla_socioeconomica · columna marca X
VIV-0444,propietario,PER-0541,,,,planilla_socioeconomica · columna marca X
VIV-0445,propietario,PER-0542,,,,planilla_socioeconomica · columna marca X
VIV-0446,propietario,PER-0543,,,,planilla_socioeconomica · columna marca X
VIV-0447,propietario,PER-0544,,,,planilla_socioeconomica · columna marca X
VIV-0448,propietario,PER-0545,,,,planilla_socioeconomica · columna marca X
VIV-0449,propietario,PER-0546,,,,planilla_socioeconomica · columna marca X
VIV-0450,propietario,PER-0547,,,,planilla_socioeconomica · columna marca X
VIV-0451,propietario,PER-0548,,,,planilla_socioeconomica · columna marca X
VIV-0452,propietario,PER-0549,,,,planilla_socioeconomica · columna marca X
VIV-0453,propietario,PER-0550,,,,planilla_socioeconomica · columna marca X
VIV-0454,propietario,PER-0551,,,,planilla_socioeconomica · columna marca X
VIV-0455,propietario,PER-0552,,,,planilla_socioeconomica · columna marca X
VIV-0456,propietario,PER-0553,,,,planilla_socioeconomica · columna marca X
VIV-0457,propietario,PER-0554,,,,planilla_socioeconomica · columna marca X
VIV-0458,propietario,PER-0555,,,,planilla_socioeconomica · columna marca X
VIV-0459,propietario,PER-0556,,,,planilla_socioeconomica · columna marca X
VIV-0460,propietario,PER-0557,,,,planilla_socioeconomica · columna marca X
VIV-0461,propietario,PER-0558,,,,planilla_socioeconomica · columna marca X
VIV-0462,propietario,PER-0559,,,,planilla_socioeconomica · columna marca X
VIV-0463,propietario,PER-0560,,,,planilla_socioeconomica · columna marca X
VIV-0464,propietario,PER-0561,,,,planilla_socioeconomica · columna marca X
VIV-0465,propietario,PER-0562,,,,planilla_socioeconomica · columna marca X
VIV-0466,propietario,PER-0563,,,,planilla_socioeconomica · columna marca X
