vivienda_id,tipo,personas_ids,cbr_fojas,cbr_numero,cbr_anio,fuente
VIV-0176,propietario,PER-0208,1419,1305,2000,planilla_socioeconomica · columna marca X
VIV-0177,propietario,PER-0209,1660,1377,1993,planilla_socioeconomica · columna marca X
VIV-0179,propietario,PER-0211,2040,1881,2002,planilla_socioeconomica · columna marca X
VIV-0180,usufructuario,PER-0212,,,,planilla_socioeconomica · columna marca X
VIV-0181,propietario,PER-0213,2094,1935,2002,planilla_socioeconomica · columna marca X
VIV-0182,propietario,PER-0214,394,355,1993,planilla_socioeconomica · columna marca X
VIV-0183,usufructuario,PER-0215,,,,planilla_socioeconomica · columna marca X
VIV-0185,usufructuario,PER-0217,,,,planilla_socioeconomica · columna marca X
VIV-0186,propietario,"PER-0218,PER-0219",1034,1014,1984,planilla_socioeconomica · columna marca X
VIV-0187,propietario,PER-0220,2109,2004,1992,planilla_socioeconomica · columna marca X
VIV-0188,usufructuario,PER-0221,2120,2015,1992,planilla_socioeconomica · columna marca X
VIV-0189,propietario,PER-0222,3270,3016,1996,planilla_socioeconomica · columna marca X
VIV-0190,propietario,PER-0223,1069,1049,1984,planilla_socioeconomica · columna marca X
VIV-0193,propietario,PER-0226,1071,1051,1984,planilla_socioeconomica · columna marca X
VIV-0194,propietario,PER-0227,2091,1986,1992,planilla_socioeconomica · columna marca X
VIV-0196,usufructuario,PER-0229,,,,planilla_socioeconomica · columna marca X
VIV-0197,propietario,PER-0230,3139,2903,1996,planilla_socioeconomica · columna marca X
VIV-0198,propietario,PER-0231,4255,3992,1997,planilla_socioeconomica · columna marca X
VIV-0199,usufructuario,PER-0232,1039,1019,1984,planilla_socioeconomica · columna marca X
VIV-0200,propietario,PER-0233,2996,2831,1992,planilla_socioeconomica · columna marca X
VIV-0201,propietario,PER-0234,1078,1058,1984,planilla_socioeconomica · columna marca X
VIV-0202,propietario,PER-0235,4253,3990,1997,planilla_socioeconomica · columna marca X
VIV-0204,propietario,PER-0237,1116,1096,1984,planilla_socioeconomica · columna marca X
VIV-0205,propietario,PER-0238,4252,3989,1997,planilla_socioeconomica · columna marca X
VIV-0206,propietario,PER-0239,2068,1963,1992,planilla_socioeconomica · columna marca X
VIV-0208,propietario,PER-0241,3611,3323,2000,planilla_socioeconomica · columna marca X
VIV-0209,propietario,PER-0242,4378,4028,2001,planilla_socioeconomica · columna marca X
VIV-0211,propietario,PER-0244,,,,planilla_socioeconomica · columna marca X
VIV-0212,propietario,PER-0245,2087,1982,1992,planilla_socioeconomica · columna marca X
VIV-0215,propietario,PER-0248,3205,2984,1997,planilla_socioeconomica · columna marca X
VIV-0216,propietario,"PER-0249,PER-0250",1077,1057,1984,planilla_socioeconomica · columna marca X
VIV-0217,propietario,PER-0251,3207,2986,1997,planilla_socioeconomica · columna marca X
VIV-0218,propietario,PER-0252,3208,2987,1997,planilla_socioeconomica · columna marca X
VIV-0219,propietario,PER-0253,4371,4021,2001,planilla_socioeconomica · columna marca X
VIV-0220,propietario,PER-0254,4685,4361,2003,planilla_socioeconomica · columna marca X
VIV-0221,propietario,PER-0255,3209,2988,1997,planilla_socioeconomica · columna marca X
VIV-0222,usufructuario,PER-0256,,,,planilla_socioeconomica · columna marca X
VIV-0224,propietario,PER-0259,978,958,1984,planilla_socioeconomica · columna marca X
VIV-0225,propietario,PER-0260,2461,2345,1992,planilla_socioeconomica · columna marca X
VIV-0226,propietario,PER-0261,2463,2347,1992,planilla_socioeconomica · columna marca X
VIV-0227,propietario,PER-0262,3174,2953,1997,planilla_socioeconomica · columna marca X
VIV-0228,propietario,PER-0263,3175,2954,1997,planilla_socioeconomica · columna marca X
VIV-0229,propietario,PER-0264,2456,2340,1992,planilla_socioeconomica · columna marca X
VIV-0230,propietario,PER-0265,3176,2955,1997,planilla_socioeconomica · columna marca X
VIV-0232,propietario,PER-0267,972,952,1984,planilla_socioeconomica · columna marca X
VIV-0233,usufructuario,PER-0268,1428,1409,1988,planilla_socioeconomica · columna marca X
VIV-0234,propietario,PER-0270,505 v.,481,2007,planilla_socioeconomica · columna marca X
VIV-0235,usufructuario,PER-0271,1325,1048,1993,planilla_socioeconomica · columna marca X
VIV-0236,propietario,PER-0273,1123,1103,1984,planilla_socioeconomica · columna marca X
VIV-0237,propietario,PER-0274,2099,1994,1992,planilla_socioeconomica · columna marca X
VIV-0238,usufructuario,PER-0275,2106,2001,1992,planilla_socioeconomica · columna marca X
VIV-0239,propietario,PER-0276,1049,1029,1984,planilla_socioeconomica · columna marca X
VIV-0240,propietario,PER-0278,2123,2018,1992,planilla_socioeconomica · columna marca X
VIV-0240,usufructuario,PER-0277,2123,2018,1992,planilla_socioeconomica · columna marca X
VIV-0241,propietario,PER-0279,4688,4364,2003,planilla_socioeconomica · columna marca X
VIV-0242,propietario,PER-0280,,,,planilla_socioeconomica · columna marca X
VIV-0243,propietario,PER-0281,4247,3984,1997,planilla_socioeconomica · columna marca X
VIV-0244,propietario,PER-0282,2097,1992,1992,planilla_socioeconomica · columna marca X
VIV-0245,propietario,PER-0283,157,143,2002,planilla_socioeconomica · columna marca X
VIV-0247,propietario,PER-0285,2107,2002,1992,planilla_socioeconomica · columna marca X
VIV-0248,propietario,PER-0286,4222,3950,2007,planilla_socioeconomica · columna marca X
VIV-0249,usufructuario,PER-0287,4221,3958,1997,planilla_socioeconomica · columna marca X
VIV-0250,usufructuario,PER-0290,2452,2336,1992,planilla_socioeconomica · columna marca X
VIV-0251,propietario,PER-0291,1052,1032,1984,planilla_socioeconomica · columna marca X
VIV-0252,propietario,PER-0292,3929,2648,2012,planilla_socioeconomica · columna marca X
VIV-0253,usufructuario,"PER-0293,PER-0294",2118,2013,1992,planilla_socioeconomica · columna marca X
VIV-0254,propietario,PER-0295,2102,1997,1992,planilla_socioeconomica · columna marca X
VIV-0255,propietario,PER-0296,2117,2012,1992,planilla_socioeconomica · columna marca X
VIV-0256,usufructuario,PER-0297,,,,planilla_socioeconomica · columna marca X
VIV-0257,usufructuario,PER-0299,1054,1034,1984,planilla_socioeconomica · columna marca X
VIV-0258,propietario,PER-0301,2129,2024,1992,planilla_socioeconomica · columna marca X
VIV-0259,propietario,PER-0302,963,943,1984,planilla_socioeconomica · columna marca X
VIV-0261,propietario,PER-0304,3198,2977,1997,planilla_socioeconomica · columna marca X
VIV-0262,propietario,PER-0305,1029,1009,1984,planilla_socioeconomica · columna marca X
VIV-0263,usufructuario,PER-0306,106,86,2003,planilla_socioeconomica · columna marca X
VIV-0264,propietario,PER-0308,959,939,1984,planilla_socioeconomica · columna marca X
VIV-0265,propietario,PER-0309,2451,2335,1992,planilla_socioeconomica · columna marca X
VIV-0266,propietario,PER-0310,2126,2021,1992,planilla_socioeconomica · columna marca X
VIV-0268,propietario,PER-0312,3788,3020,2008,planilla_socioeconomica · columna marca X
VIV-0269,propietario,PER-0313,1053,1033,1984,planilla_socioeconomica · columna marca X
VIV-0270,propietario,PER-0314,2704,2170,2009,planilla_socioeconomica · columna marca X
VIV-0272,propietario,PER-0316,3852,3692,2002,planilla_socioeconomica · columna marca X
VIV-0273,propietario,PER-0317,4361,4011,2001,planilla_socioeconomica · columna marca X
VIV-0274,propietario,PER-0318,3199,2978,1997,planilla_socioeconomica · columna marca X
VIV-0275,propietario,PER-0319,3202,2982,1997,planilla_socioeconomica · columna marca X
VIV-0276,propietario,PER-0320,5357,4286,2008,planilla_socioeconomica · columna marca X
VIV-0278,usufructuario,PER-0322,3201,2980,1997,planilla_socioeconomica · columna marca X
VIV-0279,propietario,PER-0324,190,199,1988,planilla_socioeconomica · columna marca X
VIV-0280,propietario,PER-0325,,,,planilla_socioeconomica · columna marca X
VIV-0281,propietario,PER-0326,2997,2932,1992,planilla_socioeconomica · columna marca X
VIV-0282,propietario,PER-0327,1004,984,1984,planilla_socioeconomica · columna marca X
VIV-0285,propietario,"PER-0330,PER-0331",4230,3967,1997,planilla_socioeconomica · columna marca X
VIV-0286,propietario,PER-0332,2071,1966,1992,planilla_socioeconomica · columna marca X
VIV-0287,propietario,PER-0333,,,,planilla_socioeconomica · columna marca X
VIV-0288,propietario,PER-0334,3054,2800,2007,planilla_socioeconomica · columna marca X
VIV-0289,usufructuario,PER-0335,411,370,2003,planilla_socioeconomica · columna marca X
VIV-0290,propietario,PER-0337,2443,2327,1992,planilla_socioeconomica · columna marca X
VIV-0291,propietario,PER-0338,4081,3313,2010,planilla_socioeconomica · columna marca X
VIV-0292,propietario,PER-0339,4889,4440,2007,planilla_socioeconomica · columna marca X
VIV-0293,propietario,PER-0340,4374,4024,2001,planilla_socioeconomica · columna marca X
VIV-0294,propietario,PER-0341,4251,3988,1997,planilla_socioeconomica · columna marca X
VIV-0295,propietario,PER-0342,1109,1089,1984,planilla_socioeconomica · columna marca X
VIV-0296,propietario,PER-0343,4297,3948,2001,planilla_socioeconomica · columna marca X
VIV-0297,propietario,PER-0344,4379,4029,2001,planilla_socioeconomica · columna marca X
VIV-0298,propietario,PER-0345,4297,3952,2001,planilla_socioeconomica · columna marca X
VIV-0299,propietario,PER-0346,4363,4013,2001,planilla_socioeconomica · columna marca X
VIV-0300,propietario,PER-0347,713,686,2004,planilla_socioeconomica · columna marca X
VIV-0301,propietario,"PER-0349,PER-0350",1084,1064,1984,planilla_socioeconomica · columna marca X
VIV-0302,propietario,PER-0351,971,951,1984,planilla_socioeconomica · columna marca X
VIV-0304,propietario,"PER-0353,PER-0354",986,966,1984,planilla_socioeconomica · columna marca X
VIV-0304,usufructuario,PER-0354,986,966,1984,planilla_socioeconomica · columna marca X
VIV-0305,arrendador,PER-0355,979,959,1984,planilla_socioeconomica · columna marca X
VIV-0306,propietario,"PER-0357,PER-0358",961,941,1984,planilla_socioeconomica · columna marca X
VIV-0306,usufructuario,"PER-0357,PER-0358",961,941,1984,planilla_socioeconomica · columna marca X
VIV-0307,propietario,PER-0359,,,,planilla_socioeconomica · columna marca X
VIV-0308,propietario,"PER-0361,PER-0362",,,,planilla_socioeconomica · columna marca X
VIV-0308,usufructuario,PER-0362,,,,planilla_socioeconomica · columna marca X
VIV-0309,usufructuario,PER-0364,1120,1100,1984,planilla_socioeconomica · columna marca X
VIV-0310,propietario,PER-0365,,,,planilla_socioeconomica · columna marca X
VIV-0311,propietario,PER-0366,81,1766,1994,planilla_socioeconomica · columna marca X
VIV-0312,propietario,PER-0367,1087,1067,1984,planilla_socioeconomica · columna marca X
VIV-0313,propietario,PER-0368,1121,1101,1984,planilla_socioeconomica · columna marca X
VIV-0314,propietario,PER-0369,1082,1062,1984,planilla_socioeconomica · columna marca X
VIV-0315,propietario,PER-0370,,,,planilla_socioeconomica · columna marca X
VIV-0316,propietario,"PER-0371,PER-0372",991,971,1984,planilla_socioeconomica · columna marca X
VIV-0317,usufructuario,PER-0374,1118,1098,1984,planilla_socioeconomica · columna marca X
VIV-0318,propietario,PER-0375,4223,3960,1997,planilla_socioeconomica · columna marca X
